day,n,ge50_noon_pct,ge50_best_pct,slowing_pct,median_retrace_noon,median_best_retrace
Monday,24,62.5,83.33333333333334,62.5,86.26126126126127,138.94343151005143
Wednesday,26,50.0,76.92307692307693,53.84615384615385,50.83333333333333,175.5
Thursday,26,50.0,80.76923076923077,50.0,54.980842911877396,155.48878205128204
Tuesday,27,40.74074074074074,77.77777777777779,37.03703703703704,-15.384615384615383,126.3157894736842
Friday,22,27.27272727272727,72.72727272727273,68.18181818181817,24.27980264204998,121.89317821258592
